espèce,description
Strychnos boonei,"Strychnos est un genre de plantes dicotylédones de la famille des Loganiaceae, à répartition pantropicale, qui  regroupe environ 170 espèces acceptées.
Ce sont des arbustes, des lianes ou de petits arbres souvent épineux, à feuilles opposées. Le fruit est une baie plus ou moins charnue, et dans le cas de l'espèce la plus connue (Strychnos nux-vomica), les graines très toxiques (appelées « noix vomiques »), contiennent divers alcaloïdes, notamment de la strychnine."
Deinbollia macroura,Deinbollia est un genre de plantes de la famille des Sapindaceae.
Anthocleista schweinfurthii,"Anthocleista est un genre d'arbres de la famille des Gentianaceae, présente en Afrique tropicale."
Dialium Zenkeri,"Dialium est un genre de plantes dicotylédones de la famille des Fabaceae, sous-famille des Caesalpinioideae, à répartition pantropicale, qui comprend une quarantaine d'espèces acceptées.
Ce sont des arbres pouvant atteindre 35 mètres de haut. Certaines espèces sont exploitées pour leur bois dur, apprécié comme bois d'œuvre. D'autres fournissent des fruits dont la pulpe et les graines sont comestibles.
En indonésie, le fruit de Dialium indum est appelé karanji."
Deinbollia macrantha,Deinbollia macrantha est une espèce de petit arbre de la famille des Sapindaceae.
Plagiosiphon discifer,"Plagiosiphon discifer Harms est une espèce de plantes du genre Plagiosiphon et de la famille des Fabaceae (selon APGIII). Décrite par Hermann Harms en 1897, c'est une plante endémique du Cameroun."
Swartzia madagascariensis,Bobgunnia madagascariensis est un arbre de la famille des Fabaceae. L'Université de Lausanne a effectué des recherches au Zimbabwe sur cette plante pour le compte de Phytera et breveté une substance antifongique provenant de la racine de cet arbre.
Copaifera religiosa,Copaifera est un genre botanique composé de 25 à 43 espèces d'arbres tropicaux.
Strychnos asterantha,"Strychnos est un genre de plantes dicotylédones de la famille des Loganiaceae, à répartition pantropicale, qui  regroupe environ 170 espèces acceptées.
Ce sont des arbustes, des lianes ou de petits arbres souvent épineux, à feuilles opposées. Le fruit est une baie plus ou moins charnue, et dans le cas de l'espèce la plus connue (Strychnos nux-vomica), les graines très toxiques (appelées « noix vomiques »), contiennent divers alcaloïdes, notamment de la strychnine."
Berlinia grandiflora,"Berlinia est un genre de plantes dicotylédones de la famille des Fabaceae, sous-famille des Caesalpinioideae, originaire d'Afrique, qui comprend 18 espèces acceptées.
Ce sont des arbustes ou de arbres de taille variable (de 10 à 40 mètres de haut). Certaines espèces, notamment Berlinia bracteosa, Berlinia confusa et Berlinia grandiflora, sont exploitées pour leur bois utilisé comme bois d'œuvre et commercialisé sous le nom d'« ebiara »."
Lagenaria breviflora,"Lagenaria est un genre de lianes de la famille des Cucurbitacées donnant des courges, également connu sous le nom de gourde.
Le genre est composé d'au moins sept espèces dont la plus connue est la calebasse (Lagenaria siceraria)."
Momordica angustisepala,"Momordica est un genre de plantes de la famille des Cucurbitaceae.
Une de ses espèces la plus connue est la margose, concombre amer ou momordique (Momordica charantia). Les fruits de Momordica cochinchinensis, Momordica dioica et Momordica grosvenorii sont également cultivés pour l'alimentation humaine mais sont de moindre importance commerciale."
Lychnodiscus grandifolius,"Lychnodiscus grandifolius Radlk. est une espèce d'arbres d'Afrique tropicale de la famille des Sapindaceae et du genre Lychnodiscus que l’on trouve principalement au Cameroun et au Gabon, également au Nigeria,."
Manilkara multinervis,"Les chutes de Kota (ou chutes de la Kota) forment un chapelet de cascades à l'est de la chaîne de l'Atacora au Bénin. Elles font partie des aires protégées du Bénin et sont situées dans l'arrondissement de Kotopounga, à une vingtaine de kilomètres de Natitingou."
Gambeya subnuda,Gambeya est un genre de plantes de la famille des Sapotaceae.
Cucurbita maxima,"Le potiron (Cucurbita maxima) est une plante de la famille des Cucurbitacées originaire des régions tropicales d'Amérique du Sud.
Le potiron est largement cultivé comme plante potagère pour son fruit comestible à maturité. Le terme désigne aussi ce fruit consommé comme légume. C'est l'une des cinq espèces de courges les plus couramment cultivées."
Isoberlinia tomentosa,"Isoberlinia tomentosa est une espèce de plantes de la famille des Fabaceae et du genre Isoberlinia, présente en Afrique tropicale."
Momordica Charantia,"La margose, ou le melon amer / momordique (momordica charantia), est une plante potagère grimpante de la famille des cucurbitaceae, cultivée dans les climats chauds ou tempérés en plante annuelle. Le terme ""margose"" désigne la plante et le fruit, la plante est parfois nommée improprement margosier qui désigne en créole de l'Océan indien le mélia (Melia azedarach. L).
Le fruit, la feuille et les graines sont comestibles et amers (le mucilage rouge qui entoure la graine est la seule partie douce de la plante). Cette amertume provient des momordicines, substances proches de la quinine. La margose est connue pour ses qualités culinaires et pour ses propriétés thérapeutiques en médecine traditionnelle, notamment dans le traitement du diabète et de certains cancers."
Hydrocotyle hirta,"Le genre Dorstenia fait partie de la famille des Moraceae. Les espèces de ce genre sont des plantes succulentes.
Le nom de ce genre est un hommage à Théodoric Dorsténius, un médecin allemand du XVIe siècle.
La fleur des plantes de ce genre est monopétale et irrégulière."
Cucumis hirsutus,Cucumis hirsutus est une espèce de plantes herbacées vivace de la tribu des Benincaseae et de la famille de la courge (Cucurbitaceae). Ses feuilles sont consommés cuites.
Gilbertiodendron brachystegioides,"Gilbertiodendron brachystegioides est une espèce d'arbres de la famille des Fabaceae et du genre Gilbertiodendron, présente en Afrique tropicale."
Allophylus conraui,"Allophylus conraui Gilg ex Radlk. est une espèce de plantes de la famille des Sapindaceae et du genre Allophylus, originaire du Cameroun."
Lychnodiscus brevibracteatus,Lychnodiscus est un genre de plantes de la famille des Sapindaceae.
Blighia welwitschii,"Blighia est un genre d'arbres et d'arbustes de la famille des Sapindaceae. 
Il comprend plusieurs espèces originaires d'Afrique tropicale (de l'Est de la Guinée au Kenya). Le non du genre honore le capitaine William Bligh. Les fruits forment des arilles comestibles et Blighia sapida est une espèce cultivée."
Allophylus hirtellus,Allophylus est un genre d'arbres et d'arbustes de la famille des Sapindaceae. Il comprend environ 200 espèces réparties dans les régions tropicales et subtropicales.
Telfairia Batesii,"Telfairia batesii Keraudren est une espèce de plantes de la famille des Cucurbitaceae et du genre Telfairia , endémique du Cameroun."
Zehneria scabra,La liste des espèces de plantes menacées en Australie ci-dessous comprend toutes les espèces végétales énumérées comme gravement menacées ou en danger critique d'extinction en Australie selon l’Environment Protection and Biodiversity Conservation Act 1999.
Cyathula uncinulata,Cyathula Blume est un genre de plantes de la famille des Amaranthaceae.
Lagenaria siceraria,"La calebasse, ou gourde, ou louche est une espèce de plantes herbacées annuelles de la famille des Cucurbitacées, cultivée comme plante potagère pour son fruit caractéristique également dénommé calebasse. Ce fruit est utilisé à l'état sec depuis des temps préhistoriques dans toutes les régions du monde pour fabriquer divers objets (ex. : récipient portatif pour boisson), ou plus rarement consommé à l'état frais comme légume.
Nom commun : calebasse, gourde, gourde pèlerine, cougourde, cougourdon (surtout dans la région niçoise), cuyon (dans le Sud-Ouest), courge-bouteille. Allemand : Flaschenkürbis ; anglais : calabash gourd, bottle gourd ; espagnol : calabaza, cajombre.
Nom scientifique : Lagenaria siceraria (Molina) Standl., famille des Cucurbitacées, tribu des Benincaseae.
Synonymes :

(=) Cucurbita lagenaria L., c'est le nom encore utilisé par les jardiniers
(=) Cucurbita leucantha Duchesne
(=) Cucurbita longa hort.
(≡) Cucurbita siceraria Molina (basionyme)
(=) Lagenaria lagenaria (L.) Cockerell, nom. inval.
(≡) Lagenaria leucantha Rusby
(=) Lagenaria vulgaris Ser.La calebasse est également le fruit d'une plante différente, le calebassier, un petit arbre tropical de la famille des Bignoniacées."
Berlinia auriculata,"Berlinia est un genre de plantes dicotylédones de la famille des Fabaceae, sous-famille des Caesalpinioideae, originaire d'Afrique, qui comprend 18 espèces acceptées.
Ce sont des arbustes ou de arbres de taille variable (de 10 à 40 mètres de haut). Certaines espèces, notamment Berlinia bracteosa, Berlinia confusa et Berlinia grandiflora, sont exploitées pour leur bois utilisé comme bois d'œuvre et commercialisé sous le nom d'« ebiara »."
Anthocleista laxiflora,"Anthocleista est un genre d'arbres de la famille des Gentianaceae, présente en Afrique tropicale."
Momordica camerounensis,"Momordica camerounensis est une espèce de plante épiphyte de la famille des Cucurbitaceae. et du genre Momordica, selon la classification phylogénétique.
Son épithète spécifique camerounensis fait référence au Cameroun."
Gomphrena celosioides,"Les Amaranthaceae (Amaranthacées) sont une famille de plantes dicotylédones de l'ordre des Caryophyllales. Cette famille comprend plus de 800 espèces réparties en environ 75 genres.
Ce sont des arbustes ou des plantes herbacées, des régions tempérées à tropicales, largement répandues.
En France, la famille des Amaranthaceae est représentée par le genre Amaranthus, les amarantes ou amaranthes, qui comprend des plantes ornementales (amarante queue-de-renard), des plantes cultivées (betterave) ou qui sont des adventices indésirables dans les cultures, ainsi que par des salicornes."
Didelotia africana,"Les essences fréquemment utilisées, commercialisées ou ayant été commercialisées sont :

Acajou amer, Cedrela odorata L., Méliacées
Acajou d'Afrique, Khaya ivorensis A. Chev., Méliacées
Acajou d'Amérique, Swietenia mahagoni (L.) Jacq., Méliacées
Afrormosia, Pericopsis elata, Fabacées
Amarante, Peltogyne venosa, Césalpiniacées
Amourette, Piratinera guianensis, Moracées
Assamela
Angélique, Dicorynia guianensis Amshoff, Fabacées
Avodiré, Turraeanthus africana, Méliacées
Azobé, Lophira alata Banks ex C. F. Gaertn., Ochnacées
Balata franc, Manilkara bidentata, Sapotacées
Balsa, Ochroma pyramidale (Cav. ex Lam.) Urb., Malvacées
Bété, Mansonia Altissima, Sterculiacées
Bilinga, Nauclea trillesii, Rubiacées
Bois de rose, Dalbergia variabilis, Fabacées
Bois violet ou Bois de violette, Dalbergia cearensis, Fabacées
Bossé clair, Guarea cedrata, Méliacées
Bois canon, Cécropia, Cécropiacées
Coumarou ou Cumaru, Dipteryx odorata, Fabacées
Dabéma, Pitadenia africana Mimosacées
Doussié, Afzelia sp, Césalpiniacées
Ébène, Diospyros ebenum J. König, Ébénacées
Flamboyant, Delonix regia,  Césalpiniacées
Framiré, Terminalia ivorensis Engl. & Diels, Combretacées
Fraké ou Limba, Terminalia superba A. Chev., Combretacées
Fromager, Ceiba pentandra, Bombacaceae
Gombé, Didelotia africana, idae, letouzeyi, brevipaniculata, spp., Leguminosae - Césalpiniacées
Gmelina, Gmelina arborea Roxb., Lamiacées
Grenadille, Dalbergia melanoxylon, Fabacées
Ipé, Tabebuia spp, Bignoniaceae
Iroko, Milicia excelsa (Welw.) C. C. Berg, Moracées
Moabi, Baillonella toxisperma Pierre, Sapotacées
Movingui
Niangon, Heritiera utilis (Sprague) Sprague, Malvacées
Okoumé, Aucoumea klaineana Pierre, Burséracées
Ozigo, Dacryodes buetnerii, Burséracées
Palissandre d'Asie, Dalbergia latifolia Roxb., Fabacées
Palissandre de Rio, Dalbergia nigra (Vell.) Allemão ex Benth., Fabacées
Sapelli, Entandrophragma cylindricum (Sprague) Sprague, Méliacées
Samba, Wawa ou ayous, Triplochiton scleroxylon K. Schum., Sterculiacées
Sipo, Entandrophragma utile (Dawe & Sprague) Sprague, Méliacées
Tamarinier, Tamarindus indica, Césalpiniacées
Tchitola,
Teck, Tectona grandis L. f., Verbénacées. Pour le Teck du Brésil, voir Coumarou.
Tola, Prioria balsamiferum, Césalpiniacées
Wapa, Eperua falcata, Césalpiniacées
Wenge, Millettia Laurentii, Fabacées"
Hymenostegia brachyura,"Hymenostegia brachyura (Harms) J. Léonard est une espèce de plantes du genre Hymenostegia, de la famille des Fabaceae,, endémique du Cameroun."
Cardiospermum grandiflorum,Cardiospermum est un genre de lianes et d'arbustes de la famille des Sapindaceae.
Allophylus welwitschii,Allophylus est un genre d'arbres et d'arbustes de la famille des Sapindaceae. Il comprend environ 200 espèces réparties dans les régions tropicales et subtropicales.
Manilkara Zenkeri,Manilkara zenkeri Lecomte ex Aubrév. & Pellegr. est une espèce de plantes d'Afrique tropicale de la famille des Sapotaceae et du genre Manilkara.
Gambeya perpulchra,Gambeya est un genre de plantes de la famille des Sapotaceae.
Coccinia grandis,"Coccinia grandis (tindola ou courge écarlate) est une espèce de plantes herbacées vivaces, grimpantes ou rampantes, de la famille des Cucurbitaceae, originaire des régions tropicales  d'Afrique et d'Asie."
Anthocleista djalonensis,"Anthocleista est un genre d'arbres de la famille des Gentianaceae, présente en Afrique tropicale."
Tetraberlinia polyphylla,"Tetraberlinia est un genre de plantes dicotylédones de la famille des Fabaceae (légumineuses), sous-famille des Caesalpinioideae, originaire d'Afrique équatoriale, qui comprend sept espèces acceptées."
Momordica Jeffreyana,"Momordica est un genre de plantes de la famille des Cucurbitaceae.
Une de ses espèces la plus connue est la margose, concombre amer ou momordique (Momordica charantia). Les fruits de Momordica cochinchinensis, Momordica dioica et Momordica grosvenorii sont également cultivés pour l'alimentation humaine mais sont de moindre importance commerciale."
Dialium Dinklagei,"Dialium est un genre de plantes dicotylédones de la famille des Fabaceae, sous-famille des Caesalpinioideae, à répartition pantropicale, qui comprend une quarantaine d'espèces acceptées.
Ce sont des arbres pouvant atteindre 35 mètres de haut. Certaines espèces sont exploitées pour leur bois dur, apprécié comme bois d'œuvre. D'autres fournissent des fruits dont la pulpe et les graines sont comestibles.
En indonésie, le fruit de Dialium indum est appelé karanji."
Hydrocotyle bonariensis,"Les hydrocotyles (Hydrocotyle) forment un genre de plantes aquatiques ou semi-aquatiques autrefois classées parmi les Apiaceae et maintenant dans la famille des Araliaceae. Dans leur aire naturelle de répartition, les hydrocotyles sont des plantes très communes ,,.
Certaines espèces introduites hors de leur aire naturelle de répartition sont considérées comme localement invasives ; c'est le cas de l'hydrocotyle fausse-renoncule (Hydrocotyle ranunculoides), introduite d'Amérique du Nord en Europe occidentale, qui est en train de coloniser de manière très dense certaines portions de cours d'eau."
Deinbollia rambaensis,Deinbollia rambaensis est une espèce de plantes du genre Deinbollia de la famille des Sapindaceae endémique du Gabon.
Brachystegia eurycoma,"Brachystegia est un genre botanique composé de 25 à 43 espèces d'arbres tropicaux originaires d'Afrique. Les arbres de ce genre sont généralement connus sous le nom de miombo et sont prédominants dans les formations arborées de miombo d'Afrique centrale et méridionale.

"
Anthocleista vogelii,"Anthocleista vogelii est une espèce petits arbres tropicaux de la famille des Gentianaceae et du genre Anthocleista, présente en Afrique de l'Ouest."
Strychnos angolensis,"Strychnos est un genre de plantes dicotylédones de la famille des Loganiaceae, à répartition pantropicale, qui  regroupe environ 170 espèces acceptées.
Ce sont des arbustes, des lianes ou de petits arbres souvent épineux, à feuilles opposées. Le fruit est une baie plus ou moins charnue, et dans le cas de l'espèce la plus connue (Strychnos nux-vomica), les graines très toxiques (appelées « noix vomiques »), contiennent divers alcaloïdes, notamment de la strychnine."
Achyranthes talbotii,"Achyranthes talbotii Hutch. & Dalziel est une espèce de plantes herbacées de la famille des Amaranthaceae et du genre Achyranthes, présente principalement au Cameroun, également au Nigeria."
Gambeya gigantea,Gambeya est un genre de plantes de la famille des Sapotaceae.
Cucurbita moschata,"La courge musquée (Cucurbita moschata Duchesne) est une plante de la famille des Cucurbitacées, largement cultivée comme plante potagère pour son fruit comestible à maturité. C'est l'une des cinq espèces de courges les plus couramment cultivées.
Noms communs : courge musquée, courge muscade, sucrine.
Le terme « courge » désigne aussi ce fruit consommé comme légume, ainsi que les potirons (Cucurbita maxima) et les courges en général."
Gilletiodendron Mildbraedii,"Gilletiodendron est un genre de plantes dicotylédones de la famille des Fabaceae, sous-famille des Caesalpinioideae, originaire d'Afrique, qui comprend cinq espèces acceptées."
Swartzia fistuloides,"Swartzia est un genre de la famille des Fabaceae de la sous-famille des Faboideae (Légumineuses) comprenant plus de 180 espèces d'arbres tropicaux. Certains fournissent des bois précieux. 
L'espèce type est Swartzia alata Willd. (dont le nom correct est Swartzia guianensis (Aubl.) Urb.).
Bobgunnia fistuloides (Harms) J.H. Kirkbr. & Wiersema (anciennement Swartzia fistuloides Harms) correspond au Pau-rosa d'Afrique de l'Ouest"
Pancovia laurentii,Pancovia est un genre de plantes de la famille des Sapindaceae.
Gilbertiodendron ogoouense,"Gilbertiodendron est un genre de plantes appartenant à la famille des Fabaceae.
Son nom rend hommage à l'ingénieur et botaniste belge Georges Gilbert."
GiLbertiodendron pachyanthum,"Gilbertiodendron pachyanthum (Harms) J. Léonard est une espèce d'arbres de la famille des Fabacées et du genre Gilbertiodendron, endémique du Cameroun."
Brachystegia cynometroides,"Brachystegia cynometroides est un arbre à taille moyenne à assez grande de la famille des Caesalpiniaceae (Leguminosae - Caesalpinioideae), peu réparti. On le trouve principalement dans l’ouest du Cameroun et en Guinée équatoriale - Bioko. L’arbre pousse généralement jusqu’à 200 m d’altitude, dans les régions à températures moyennes de 23,5-25 °C.  Son nom commun est naga."
Alternanthera nodiflora,"Alternanthera est un genre qui regroupe plus de 80 plantes herbacées, dont un certain nombre peut être utilisé en aquarium."
Gambeya Lacourtiana,Gambeya est un genre de plantes de la famille des Sapotaceae.
Aphanocalyx margininervatus,"Aphanocalyx est un genre de plantes dicotylédones de la famille des Fabaceae, sous-famille des Caesalpinioideae, originaire d'Afrique, qui comprend une quinzaine d'espèces acceptées.
Ce sont des arbres ou arbustes poussant dans les forêts pluviales et forêts riveraines de plaine ou submontagnardes, souvent sur des sols sablonneux pauvres en éléments nutritifs. Ces espèces forment habituellement des peuplements monodominants.
Certaines espèces sont exploitées pour leur bois utilisé comme bois d'œuvre et commercialisé sous le nom d’« andoung »."
Anthocleista obanensis,"Anthocleista est un genre d'arbres de la famille des Gentianaceae, présente en Afrique tropicale."
Gambeya africana,Gambeya est un genre de plantes de la famille des Sapotaceae.
Cyathula achyranthoides,Cyathula Blume est un genre de plantes de la famille des Amaranthaceae.
Pancovia pedicellaris,Pancovia est un genre de plantes de la famille des Sapindaceae.
Section Densiflorae,Parashorea densiflora est un grand arbre sempervirent de la Péninsule Malaise appartenant à la famille des Diptérocarpacées.
Blighia unijugata,"Blighia est un genre d'arbres et d'arbustes de la famille des Sapindaceae. 
Il comprend plusieurs espèces originaires d'Afrique tropicale (de l'Est de la Guinée au Kenya). Le non du genre honore le capitaine William Bligh. Les fruits forment des arilles comestibles et Blighia sapida est une espèce cultivée."
Griffonia physocarpa,"Griffonia est un genre de plantes la famille des Caesalpiniaceae selon la classification classique, ou des Fabaceae (sous-famille des Caesalpinioideae) selon la classification phylogénétique."
Berlinia Craibiana,"Berlinia est un genre de plantes dicotylédones de la famille des Fabaceae, sous-famille des Caesalpinioideae, originaire d'Afrique, qui comprend 18 espèces acceptées.
Ce sont des arbustes ou de arbres de taille variable (de 10 à 40 mètres de haut). Certaines espèces, notamment Berlinia bracteosa, Berlinia confusa et Berlinia grandiflora, sont exploitées pour leur bois utilisé comme bois d'œuvre et commercialisé sous le nom d'« ebiara »."
Peucedanum Zenkeri,"Peucedanum est un genre végétal de la famille des Apiaceae (Ombellifères). Ce nom latin est dérivé du grec πευκέδανον, peukédanon, lui même formé à partir de πεύκη, peukê (« pin ») pour désigner des plantes ayant une odeur résineuse ."
Anthocleista scandens,"Anthocleista est un genre d'arbres de la famille des Gentianaceae, présente en Afrique tropicale."
Strychnos chromatoxylon,"Strychnos est un genre de plantes dicotylédones de la famille des Loganiaceae, à répartition pantropicale, qui  regroupe environ 170 espèces acceptées.
Ce sont des arbustes, des lianes ou de petits arbres souvent épineux, à feuilles opposées. Le fruit est une baie plus ou moins charnue, et dans le cas de l'espèce la plus connue (Strychnos nux-vomica), les graines très toxiques (appelées « noix vomiques »), contiennent divers alcaloïdes, notamment de la strychnine."
Didelotia Letouzeyi,"Didelotia letouzeyi, aussi appelé gombé, fait partie de la famille des Caesalpiniaceae. Ses diverses appellations vernaculaires sont : Ekop-gombé ou Gombé (Cameroun), Broutou ou Toubaouaté (Côte d'Ivoire), Angok ou Tomé (Gabon), Bondu (Liberia) et Timba (Sierra Leone). Ses synonymes botaniques sont : Didelotia africana Baill., Didelotia brevipaniculata J. Léonard, Didelotia idae Oldeman & Al. Et Didelotia p.p. L'épithète letouzeyi fait référence au botaniste français René Letouzey. Il s’agit d’une espèce rare que l’on retrouve disséminée pied par pied dans la forêt primitive et souvent dans les peuplements d’Andoungs au Gabon, mais aussi au Cameroun et dans le Mayombe congolais. Le gombé est semblable à l’okoumé et on confond aussi souvent Didelotia letouzeyi avec Didelotia africana."
Brachystegia Zenkeri,"Brachystegia est un genre botanique composé de 25 à 43 espèces d'arbres tropicaux originaires d'Afrique. Les arbres de ce genre sont généralement connus sous le nom de miombo et sont prédominants dans les formations arborées de miombo d'Afrique centrale et méridionale.

"
Section Brevitubae,"Baicalellia est un genre de vers plats aquatiques de la famille des Provorticidae et de l'ordre des Rhabdocoela.

"
Gilbertiodendron demonstrans,"Gilbertiodendron est un genre de plantes appartenant à la famille des Fabaceae.
Son nom rend hommage à l'ingénieur et botaniste belge Georges Gilbert."
Strychnos camptoneura,"Strychnos camptoneura est une espèce de plantes de la famille des Loganiaceae et du genre Strychnos, présente en Afrique tropicale."
Tetraberlinia bifoliolata,"Tetraberlinia est un genre de plantes dicotylédones de la famille des Fabaceae (légumineuses), sous-famille des Caesalpinioideae, originaire d'Afrique équatoriale, qui comprend sept espèces acceptées."
Cassia mimosoides,"Cassia est un genre de la famille des Caesalpiniaceae dans la classification classique de Cronquist (1981), ou de la famille des Fabaceae, sous-famille des Caesalpinioideae  dans la classification phylogénétique APG II (2003).
Des espèces du genre Cassia sont des plantes qui servent d'aliment aux larves de certaines espèces de lépidoptères, parmi lesquelles Endoclita malabaricus."
Coccinia adoensis,"Coccinia est un genre de plantes herbacées de la famille des Cucurbitaceae.
Ce genre comprend 25 espèces originaires de l'Afrique subsaharienne avec une espèce aussi distribuée à l'Asie du Sud et du Sud-est, qui est aussi envahissante aux îles de l'océan pacifique et l'Amérique tropicale.
L'espèce plus connue est Coccinia grandis, la courge écarlate, qui est cultivée pour ses feuilles jeunes et fruits comestibles.
Le nom générique Coccinia dérive du latin coccineus, écarlate, en référence à la couleur rouge brillant du fruit mûr."
Strychnos aculeata,"Strychnos est un genre de plantes dicotylédones de la famille des Loganiaceae, à répartition pantropicale, qui  regroupe environ 170 espèces acceptées.
Ce sont des arbustes, des lianes ou de petits arbres souvent épineux, à feuilles opposées. Le fruit est une baie plus ou moins charnue, et dans le cas de l'espèce la plus connue (Strychnos nux-vomica), les graines très toxiques (appelées « noix vomiques »), contiennent divers alcaloïdes, notamment de la strychnine."
Amphimas pterocarpoides,"Amphimas pterocarpoides est un arbre de la famille des Fabaceae. Cet arbre fruitier, de genre Amphimas,  est une plante originaire d'Afrique et pousse dans les forêts sempervirentes comme dans les forêts décidues et secondaires. Au Cameroun, cette plante est appelée lati parallèle, edjin ou encore edzil."
Plagiosiphon longitubus,"Plagiosiphon est un genre de plantes dicotylédones de la famille des Fabaceae, sous-famille des Caesalpinioideae, originaire d'Afrique, qui comprend cinq espèces acceptées."
Cassia Kirkii,"Cassia est un genre de la famille des Caesalpiniaceae dans la classification classique de Cronquist (1981), ou de la famille des Fabaceae, sous-famille des Caesalpinioideae  dans la classification phylogénétique APG II (2003).
Des espèces du genre Cassia sont des plantes qui servent d'aliment aux larves de certaines espèces de lépidoptères, parmi lesquelles Endoclita malabaricus."
Piliostigma Thonningii,"Le genre Bauhinia ou arbre à orchidées est un genre des plantes dicotylédones, famille des Caesalpiniaceae (ou des Fabaceae, sous-famille des Caesalpinioideae). Le genre tire son nom des frères Johan et Gaspard Bauhin, naturalistes franco-suisses du XVe siècle ; d'après la légende parce que la proximité des feuilles rappelle celle des deux frères.
La circonscription du genre est discutée."
Plagiosiphon emarginatus,"Plagiosiphon est un genre de plantes dicotylédones de la famille des Fabaceae, sous-famille des Caesalpinioideae, originaire d'Afrique, qui comprend cinq espèces acceptées."
Strychnos campicola,"Strychnos est un genre de plantes dicotylédones de la famille des Loganiaceae, à répartition pantropicale, qui  regroupe environ 170 espèces acceptées.
Ce sont des arbustes, des lianes ou de petits arbres souvent épineux, à feuilles opposées. Le fruit est une baie plus ou moins charnue, et dans le cas de l'espèce la plus connue (Strychnos nux-vomica), les graines très toxiques (appelées « noix vomiques »), contiennent divers alcaloïdes, notamment de la strychnine."
Copaifera Mildbraedii,Copaifera est un genre botanique composé de 25 à 43 espèces d'arbres tropicaux.
Cassia obtusifolia,"Senna obtusifolia (pistache marron ou casse fétide) est une espèce de plantes dicotylédones de la famille des Fabaceae originaire des régions tropicales d'Amérique du Sud.
Cette plante, herbacée annuelle ou vivace, ou arbrisseau, est considérée comme une mauvaise herbe dans toutes les régions où elle a été introduite, en particulier en Australie."
Detarium macrocarpum,"Detarium est un genre de plantes dicotylédones de la famille des Fabaceae (Légumineuses), sous-famille des Caesalpinioideae, originaire d'Afrique, qui comprend quatre espèces acceptées."
Allophylus lastoursvillensis,Allophylus est un genre d'arbres et d'arbustes de la famille des Sapindaceae. Il comprend environ 200 espèces réparties dans les régions tropicales et subtropicales.
